rootstock,tree_id,infection_dpi,infection,girdling_dpi,girdling,wilting_dpi,wilting,necrosis_dpi,necrosis,sclerotia_dpi,sclerotia
g969,4,4,1,20,0,20,0,20,0,20,0
g969,5,14,1,20,0,20,0,20,0,20,0
g969,6,12,1,20,1,20,0,20,0,20,0
g969,7,5,1,18,1,20,0,20,0,18,1
g969,8,5,1,11,1,20,0,20,0,11,1
g969,9,7,1,20,0,20,0,20,0,20,0
g969,10,6,1,7,1,20,0,20,0,7,1
emla106,c1,4,1,5,1,14,1,18,1,12,1
emla106,c2,4,1,6,1,18,1,20,0,18,1
emla106,1,5,1,7,1,20,0,20,0,11,1
emla106,2,6,1,13,1,20,0,20,0,11,1
emla106,3,4,1,11,1,20,0,20,0,7,1
emla106,4,12,1,19,1,20,0,20,0,20,1
emla106,5,6,1,20,0,20,0,20,0,20,0
emla106,6,4,1,11,1,20,0,20,0,11,1
emla106,7,4,1,11,1,20,0,20,0,18,1
emla106,8,7,1,11,1,20,0,20,0,19,1
emla106,9,5,1,8,1,20,0,20,0,18,1
emla106,10,6,1,8,1,20,0,20,0,15,1
g210,c1,4,1,6,1,7,1,14,1,15,1
g210,c2,4,1,7,1,15,1,19,1,14,1
g210,1,4,1,7,1,8,1,11,1,7,1
g210,2,5,1,8,1,18,1,19,1,8,1
g210,3,6,1,20,0,20,0,20,0,20,0
g210,4,4,1,20,0,20,0,20,0,20,0
g210,5,5,1,14,1,20,0,20,0,14,1
g210,6,4,1,20,0,20,0,20,0,20,0
g210,7,5,1,14,1,8,1,11,1,14,1
g210,8,7,1,20,0,20,0,20,0,20,0
g210,9,7,1,14,1,20,0,20,0,20,1
g210,10,11,1,20,0,20,0,20,0,20,1
emla111,c1,6,1,7,1,20,0,20,0,15,1
emla111,c2,5,1,6,1,20,0,20,0,15,1
emla111,1,6,1,8,1,20,0,20,0,20,0
emla111,2,5,1,6,1,12,1,15,1,8,1
emla111,3,6,1,7,1,19,1,20,1,19,1
emla111,4,6,1,20,0,20,0,20,0,19,1
emla111,5,20,0,20,0,20,0,20,0,20,0
emla111,6,8,1,9,1,19,1,20,1,9,1
emla111,7,6,1,9,1,20,0,20,0,19,1
emla111,8,16,1,20,0,20,0,20,0,20,1
emla111,9,8,1,20,0,16,1,19,1,12,1
emla111,10,9,1,20,0,20,0,20,0,20,0
g890,c1,5,1,6,1,15,1,19,1,19,1
g890,c2,6,1,7,1,8,1,12,1,9,1
g890,1,9,1,20,0,20,0,20,0,19,1
g890,2,9,1,13,1,19,1,20,0,15,1
g890,3,12,1,20,0,20,0,20,0,20,0
g890,4,5,1,6,1,8,1,12,1,6,1
g890,5,5,1,6,1,8,1,12,1,8,1
g890,6,20,0,20,0,20,0,20,0,20,0
g890,7,12,1,15,1,20,0,20,0,20,0
g890,8,12,1,20,0,20,0,20,0,19,1
g890,9,7,1,9,1,9,1,13,1,8,1
g890,10,9,1,19,1,20,1,20,0,19,1
b10,c1,5,1,6,1,12,1,13,1,15,1
b10,c2,6,1,8,1,14,1,15,1,15,1
b10,1,5,1,6,1,12,1,13,1,9,1
b10,2,5,1,6,1,6,1,9,1,6,1
b10,3,8,1,20,0,20,0,20,0,20,0
b10,4,5,1,6,1,8,1,12,1,6,1
b10,5,6,1,20,0,20,0,20,0,12,1
b10,6,5,1,6,1,8,1,13,1,6,1
b10,7,5,1,6,1,6,1,7,1,6,1
b10,8,5,1,7,1,5,1,6,1,6,1
b10,9,5,1,7,1,5,1,6,1,6,1
b10,10,5,1,20,0,20,0,20,0,15,1
